District,School Scoring
ACEH BARAT,844
ACEH BARAT DAYA,489
ACEH BESAR,1144
ACEH JAYA,500
ACEH SELATAN,965
ACEH SINGKIL,485
ACEH TAMIANG,897
ACEH TENGAH,884
ACEH TENGGARA,814
ACEH TIMUR,1155
ACEH UTARA,1782
ALOR,837
AMBON,890
ASAHAN,2159
ASMAT,219
B A T A M,1637
BADUNG,1101
BALANGAN,686
BALIKPAPAN,938
BANDA ACEH,787
BANDAR LAMPUNG,1829
BANDUNG,11251
BANDUNG BARAT,3520
BANGGAI,1562
BANGGAI KEPULAUAN,1081
BANGKA,744
BANGKA BARAT,499
BANGKA SELATAN,374
BANGKA TENGAH,373
BANGKALAN,3168
BANGLI,557
BANJAR,2257
BANJAR BARU,537
BANJARMASIN,1522
BANJARNEGARA,2869
BANTAENG,645
BANTUL,2092
BANYU ASIN,2003
BANYUMAS,3956
BANYUWANGI,4139
BARITO KUALA,1272
BARITO SELATAN,830
BARITO TIMUR,542
BARITO UTARA,658
BARRU,814
BATANG,2004
BATANG HARI,886
BATU,458
BATU BARA,1089
BAU-BAU,430
BEKASI,9093
BELITUNG,484
BELITUNG TIMUR,351
BELU,1124
BENER MERIAH,645
BENGKALIS,1570
BENGKAYANG,855
BENGKULU,699
BENGKULU SELATAN,575
BENGKULU TENGAH,361
BENGKULU UTARA,963
BERAU,705
BIAK NUMFOR,582
BIMA,2400
BINJAI,801
BINTAN,402
BIREUEN,1186
BITUNG,552
BLITAR,3916
BLORA,2617
BOALEMO,635
BOGOR,11953
BOJONEGORO,4073
BOLAANG MONGONDOW,885
BOLAANG MONGONDOW SELATAN,280
BOLAANG MONGONDOW TIMUR,241
BOLAANG MONGONDOW UTARA,358
BOMBANA,722
BONDOWOSO,2645
BONE,2965
BONE BOLANGO,610
BONTANG,394
BOVEN DIGOEL,253
BOYOLALI,3075
BREBES,3845
BUKITTINGGI,444
BULELENG,1768
BULUKUMBA,1625
BULUNGAN,533
BUNGO,1090
BUOL,728
BURU,527
BURU SELATAN,326
BUTON,1317
BUTON UTARA,371
CIAMIS,4754
CIANJUR,4953
CILACAP,4205
CILEGON,1061
CIMAHI,822
CIREBON,5123
D U M A I,576
DAIRI,963
DEIYAI,95
DELI SERDANG,4449
DEMAK,3025
DENPASAR,1298
DEPOK,3014
DOGIYAI,164
DOMPU,1055
DONGGALA,1265
EMPAT LAWANG,574
ENDE,1226
ENREKANG,971
FAKFAK,397
FLORES TIMUR,1190
GARUT,7010
GAYO LUES,359
GIANYAR,1030
GORONTALO,1959
GORONTALO UTARA,515
GOWA,2027
GRESIK,3709
GROBOGAN,3711
GUNUNG KIDUL,2455
GUNUNG MAS,595
GUNUNGSITOLI,560
HALMAHERA BARAT,778
HALMAHERA SELATAN,1241
HALMAHERA TENGAH,353
HALMAHERA TIMUR,426
HALMAHERA UTARA,755
HULU SUNGAI SELATAN,1001
HULU SUNGAI TENGAH,1102
HULU SUNGAI UTARA,1005
HUMBANG HASUNDUTAN,709
INDRAGIRI HILIR,2715
INDRAGIRI HULU,1163
INDRAMAYU,3852
INTAN JAYA,55
JAKARTA BARAT,3812
JAKARTA PUSAT,2185
JAKARTA SELATAN,4453
JAKARTA TIMUR,5125
JAKARTA UTARA,2851
JAMBI,1320
JAYAPURA,1177
JAYAWIJAYA,391
JEMBER,6175
JEMBRANA,751
JENEPONTO,1347
JEPARA,3085
JOMBANG,3807
KAIMANA,238
KAMPAR,2243
KAPUAS,1744
KAPUAS HULU,1306
KARANG ASEM,1074
KARANGANYAR,2285
KARAWANG,3984
KARIMUN,624
KARO,1105
KATINGAN,864
KAUR,503
KAYONG UTARA,395
KEBUMEN,3639
KEDIRI,4564
KEEROM,246
KENDAL,2566
KENDARI,770
KEPAHIANG,423
KEPULAUAN ANAMBAS,227
KEPULAUAN ARU,463
KEPULAUAN MENTAWAI,377
KEPULAUAN MERANTI,866
KEPULAUAN SANGIHE,850
KEPULAUAN SERIBU,99
KEPULAUAN SULA,831
KEPULAUAN TALAUD,557
KEPULAUAN YAPEN,370
KERINCI,921
KETAPANG,1687
KLATEN,3459
KLUNGKUNG,514
KOLAKA,1508
KOLAKA UTARA,533
KONAWE,1316
KONAWE SELATAN,1291
KONAWE UTARA,389
KOTA BARU,1109
KOTAMOBAGU,346
KOTAWARINGIN BARAT,810
KOTAWARINGIN TIMUR,1337
KUANTAN SINGINGI,1080
KUBU RAYA,1835
KUDUS,2212
KULON PROGO,1600
KUNINGAN,2684
KUPANG,2208
KUTAI BARAT,964
KUTAI KARTANEGARA,2267
KUTAI TIMUR,928
LABUHAN BATU,1424
LABUHAN BATU SELATAN,966
LABUHAN BATU UTARA,1175
LAHAT,1290
LAMANDAU,401
LAMONGAN,5296
LAMPUNG BARAT,1412
LAMPUNG SELATAN,2670
LAMPUNG TENGAH,3462
LAMPUNG TIMUR,2985
LAMPUNG UTARA,1919
LANDAK,1442
LANGKAT,3051
LANGSA,412
LANNY JAYA,179
LEBAK,3855
LEBONG,366
LEMBATA,665
LHOKSEUMAWE,451
LINGGA,460
LOMBOK BARAT,1991
LOMBOK TENGAH,3859
LOMBOK TIMUR,4161
LOMBOK UTARA,737
LUBUKLINGGAU,550
LUMAJANG,2839
LUWU,1282
LUWU TIMUR,821
LUWU UTARA,1107
MADIUN,2504
MAGELANG,4093
MAGETAN,2100
MAJALENGKA,3108
MAJENE,829
MAKASSAR,3376
MALANG,8602
MALINAU,370
MALUKU BARAT DAYA,453
MALUKU TENGAH,1691
MALUKU TENGGARA,548
MALUKU TENGGARA BARAT,548
MAMASA,974
MAMBERAMO RAYA,72
MAMBERAMO TENGAH,70
MAMUJU,1691
MAMUJU UTARA,580
MANADO,1502
MANDAILING NATAL,1465
MANGGARAI,794
MANGGARAI BARAT,745
MANGGARAI TIMUR,865
MANOKWARI,818
MAPPI,220
MAROS,1128
MATARAM,986
MAYBRAT,156
MEDAN,5253
MELAWI,809
MERANGIN,1373
MERAUKE,830
MESUJI,611
METRO,508
MIMIKA,424
MINAHASA,1444
MINAHASA SELATAN,1037
MINAHASA TENGGARA,442
MINAHASA UTARA,897
MOJOKERTO,3351
MOROWALI,1127
MUARA ENIM,1901
MUARO JAMBI,1125
MUKOMUKO,635
MUNA,1383
MURUNG RAYA,646
MUSI BANYUASIN,1666
MUSI RAWAS,1759
NABIRE,530
NAGAN RAYA,712
NAGEKEO,595
NATUNA,396
NDUGA,32
NGADA,614
NGANJUK,3054
NGAWI,2600
NIAS,459
NIAS BARAT,436
NIAS SELATAN,1354
NIAS UTARA,551
NUNUKAN,561
OGAN ILIR,1307
OGAN KOMERING ILIR,1985
OGAN KOMERING ULU,931
OGAN KOMERING ULU SELATAN,1066
OGAN KOMERING ULU TIMUR,1995
PACITAN,1964
PADANG,2046
PADANG LAWAS,755
PADANG LAWAS UTARA,898
PADANG PANJANG,246
PADANGSIDIMPUAN,626
PAGAR ALAM,345
PAKPAK BHARAT,198
PALANGKA RAYA,840
PALEMBANG,2830
PALOPO,544
PALU,1019
PAMEKASAN,3682
PANDEGLANG,4065
PANGKAJENE DAN KEPULAUAN,1178
PANGKAL PINANG,424
PANIAI,185
PARE-PARE,542
PARIAMAN,355
PARIGI MOUTONG,1681
PASER,1000
PASURUAN,5052
PATI,3582
PAYAKUMBUH,419
PEGUNUNGAN BINTANG,122
PEKALONGAN,2998
PEKANBARU,1578
PELALAWAN,941
PEMALANG,2805
PEMATANG SIANTAR,938
PENAJAM PASER UTARA,457
PESAWARAN,1377
PIDIE,1305
PIDIE JAYA,464
PINRANG,1261
POHUWATO,601
POLEWALI MANDAR,1450
PONOROGO,2992
PONTIANAK,2101
POSO,1035
PRABUMULIH,412
PRINGSEWU,1265
PROBOLINGGO,5286
PULANG PISAU,767
PULAU MOROTAI,283
PUNCAK,66
PUNCAK JAYA,101
PURBALINGGA,2360
PURWAKARTA,1983
PURWOREJO,2301
RAJA AMPAT,339
REJANG LEBONG,767
REMBANG,1750
ROKAN HILIR,2047
ROKAN HULU,1524
ROTE NDAO,537
S I A K,1165
SABANG,143
SABU RAIJUA,232
SALATIGA,623
SAMARINDA,1511
SAMBAS,1598
SAMOSIR,646
SAMPANG,3637
SANGGAU,1597
SARMI,174
SAROLANGUN,1125
SAWAH LUNTO,250
SEKADAU,734
SELAYAR,693
SELUMA,694
SEMARANG,6467
SERAM BAGIAN BARAT,943
SERAM BAGIAN TIMUR,615
SERANG,5092
SERDANG BEDAGAI,2057
SERUYAN,618
SIAU TAGULANDANG BIARO,406
SIBOLGA,231
SIDENRENG RAPPANG,967
SIDOARJO,3940
SIGI,1050
SIJUNJUNG,5
SIKKA,1079
SIMALUNGUN,3161
SIMEULUE,568
SINGKAWANG,546
SINJAI,1103
SINTANG,1346
SITUBONDO,2192
SLEMAN,2607
SOLOK,207
SOPPENG,1012
SORONG,861
SORONG SELATAN,220
SRAGEN,2542
SUBANG,3660
SUBULUSSALAM,363
SUKABUMI,7008
SUKAMARA,200
SUKOHARJO,2237
SUMBA BARAT,368
SUMBA BARAT DAYA,680
SUMBA TENGAH,258
SUMBA TIMUR,787
SUMBAWA,1544
SUMBAWA BARAT,521
SUMEDANG,2580
SUMENEP,5175
SUNGAI PENUH,340
SUPIORI,156
SURABAYA,5297
SURAKARTA,1665
TABALONG,1092
TABANAN,1176
TAKALAR,972
TAMBRAUW,60
TANA TIDUNG,94
TANA TORAJA,1034
TANAH BUMBU,929
TANAH LAUT,1041
TANGERANG,9301
TANGERANG SELATAN,2369
TANGGAMUS,1655
TANJUNG BALAI,449
TANJUNG JABUNG BARAT,1052
TANJUNG JABUNG TIMUR,961
TANJUNG PINANG,417
TAPANULI SELATAN,971
TAPANULI TENGAH,1248
TAPANULI UTARA,1268
TAPIN,660
TARAKAN,355
TASIKMALAYA,7114
TEBING TINGGI,493
TEBO,1144
TEGAL,3743
TELUK BINTUNI,340
TELUK WONDAMA,131
TEMANGGUNG,2189
TERNATE,545
TIDORE KEPULAUAN,570
TIMOR TENGAH SELATAN,1883
TIMOR TENGAH UTARA,910
TOBA SAMOSIR,798
TOJO UNA-UNA,716
TOLIKARA,196
TOLI-TOLI,1012
TOMOHON,393
TORAJA UTARA,826
TRENGGALEK,2121
TUAL,246
TUBAN,3073
TULANG BAWANG BARAT,874
TULANGBAWANG,1171
TULUNGAGUNG,2772
WAJO,1568
WAKATOBI,605
WAROPEN,142
WAY KANAN,1460
WONOGIRI,2977
WONOSOBO,2237
YAHUKIMO,242
YALIMO,78
YOGYAKARTA,1457
